------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
HEADER,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Company,:,WHITE,OAK,ENERGY,,,,,,,,,,,,,,
Field,:,Wharton,"County,",TX,(NAD27),TXSCZ,,,,,,,,,,,,
Site,:,HC,Cockburn,#196,,,,,,,,,,,,,,
Well,Name,:,#196,,,,,,,,,,,,,,,
------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
WELL,INFORMATION,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
API,number,:,,,,,,,,,,,,,,,,
Engineer,:,,,,,,,,,,,,,,,,,
State,:,,,,,,,,,,,,,,,,,
County,:,,,,,,,,,,,,,,,,,
Depth,Unit,:,usft,,,,,,,,,,,,,,,
Datum,elevation,:,87.8,,,,,,,,,,,,,,,
VSect.,Azimuth,:,157.05,,,,,,,,,,,,,,,
VSect.,North,:,0,,,,,,,,,,,,,,,
VSect.,East,:,0,,,,,,,,,,,,,,,
Survey,Name,:,Plan,#8,,,,,,,,,,,,,,
Survey,Date,:,1/1/1990,,,,,,,,,,,,,,,
Geomagnetic,Date:,1/3/2018,,,,,,,,,,,,,,,,
Extract,Date,:,5-Jan-18,,,,,,,,,,,,,,,
------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,44,4300,27.52,195.02,100,4179.05,459.12,-562.49,-150.91,582.39,195.02,0,2943434.501,E,488378.329,N,,
,45,4400,27.52,195.02,100,4267.73,495.55,-607.12,-162.88,628.59,195.02,0,2943422.528,E,488333.703,N,,
,46,4500,27.52,195.02,100,4356.42,531.98,-651.75,-174.86,674.79,195.02,0,2943410.555,E,488289.077,N,,
,47,4600,27.52,195.02,100,4445.11,568.4,-696.37,-186.83,721,195.02,0,2943398.582,E,488244.45,N,,
,48,4700,27.52,195.02,100,4533.79,604.83,-741,-198.8,767.2,195.02,0,2943386.609,E,488199.824,N,,
,49,4800,27.52,195.02,100,4622.48,641.25,-785.62,-210.78,813.41,195.02,0,2943374.637,E,488155.198,N,,
,50,4900,27.52,195.02,100,4711.16,677.68,-830.25,-222.75,859.61,195.02,0,2943362.664,E,488110.572,N,,
,51,5000,27.52,195.02,100,4799.85,714.1,-874.88,-234.72,905.82,195.02,0,2943350.691,E,488065.946,N,,
,52,5100,27.52,195.02,100,4888.53,750.53,-919.5,-246.69,952.02,195.02,0,2943338.718,E,488021.319,N,,
,53,5200,27.52,195.02,100,4977.22,786.95,-964.13,-258.67,998.23,195.02,0,2943326.745,E,487976.693,N,,
,54,5288.96,27.52,195.02,88.96,5056.11,819.36,-1003.83,-269.32,1039.33,195.02,0,2943316.094,E,487936.994,N,,
,55,5300,28.19,193.78,11.04,5065.88,823.46,-1008.82,-270.6,1044.49,195.02,8,2943314.812,E,487931.998,N,,
,56,5350,31.33,188.78,50,5109.29,843.98,-1033.15,-275.4,1069.22,194.93,8,2943310.015,E,487907.674,N,,
,57,5400,34.63,184.62,50,5151.23,867.64,-1060.16,-278.53,1096.14,194.72,8,2943306.885,E,487880.658,N,,
