Cabot Oil & Gas,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Thompson Ranch No. 11H,,,,,,,,,,,,,,,
"Frio County, Texas (NAD 27)",,,,,,,,,,,,,,,
North Reference: Grid,,,,,,,,,,,,,,,
KB-MSL: 554.30 ,,,,,,,,,,,,,,,
Ground Level: 526.30 ,,,,,,,,,,,,,,,
Design #2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 , , ,Course, ,Subsea, , , , , , ,Dogleg,,,
MD,INC,AZI,Length,TVD,Depth,N/-S,E/-W,X,Y,Lat,Long,Severity,T.Face,Vert Sec,
,,,,,,,,,,,,,,,
2645.31,2.23,175.09,94.11,2644.546,-2090.246,-47.696,17.454,2022789.716,315121.322,28° 41' 59.974144 N,98° 55' 44.080699 W,0.567,266.287,-19.658, 
2739.42,2.45,175.16,94.11,2738.577,-2184.277,-51.525,17.78,2022790.042,315117.493,28° 41' 59.936234 N,98° 55' 44.077059 W,0.234,0.779,-22.023, 
2833.53,2.61,175.79,94.11,2832.596,-2278.296,-55.666,18.107,2022790.369,315113.352,28° 41' 59.895226 N,98° 55' 44.073415 W,0.173,10.175,-24.601, 
2927.64,2.67,165.33,94.11,2926.606,-2372.306,-59.924,18.82,2022791.082,315109.094,28° 41' 59.853065 N,98° 55' 44.065444 W,0.515,271.855,-26.975, 
3021.75,2.66,161.56,94.11,3020.615,-2466.315,-64.116,20.066,2022792.328,315104.902,28° 41' 59.811548 N,98° 55' 44.051482 W,0.187,264.853,-28.914, 
3115.86,2.71,159.31,94.11,3114.621,-2560.321,-68.269,21.542,2022793.804,315100.749,28° 41' 59.770418 N,98° 55' 44.034926 W,0.124,294.252,-30.657, 
3209.97,2.88,162.9,94.11,3208.619,-2654.319,-72.61,23.024,2022795.286,315096.408,28° 41' 59.727426 N,98° 55' 44.018322 W,0.259,47.642,-32.525, 
3304.08,2.92,163.15,94.11,3302.609,-2748.309,-77.164,24.414,2022796.676,315091.854,28° 41' 59.682327 N,98° 55' 44.002744 W,0.045,17.672,-34.605, 
3398.19,3.01,163.06,94.11,3396.593,-2842.293,-81.822,25.828,2022798.09,315087.196,28° 41' 59.636198 N,98° 55' 43.986889 W,0.096,356.994,-36.737, 
3492.3,3.03,162.46,94.11,3490.572,-2936.272,-86.557,27.298,2022799.56,315082.461,28° 41' 59.589302 N,98° 55' 43.970419 W,0.04,302.022,-38.881, 
3586.41,3.04,157.98,94.11,3584.55,-3030.25,-91.242,28.983,2022801.245,315077.776,28° 41' 59.542902 N,98° 55' 43.951527 W,0.252,270.176,-40.834, 
3680.52,3.13,162.87,94.11,3678.524,-3124.224,-96.011,30.676,2022802.938,315073.007,28° 41' 59.495673 N,98° 55' 43.932554 W,0.295,73.572,-42.838, 
3774.63,3.1,163.9,94.11,3772.495,-3218.195,-100.911,32.138,2022804.4,315068.107,28° 41' 59.447145 N,98° 55' 43.916165 W,0.067,118.705,-45.1, 
3868.74,3.05,166.71,94.11,3866.47,-3312.17,-105.792,33.419,2022805.681,315063.226,28° 41' 59.398802 N,98° 55' 43.901811 W,0.169,109.75,-47.482, 
